name,link,flag_ratio,year_first.usage,year_current.ver,year_last.change,population,surface_sq.mi,density_sq.mi
China,cdn.countryflags.com/thumbs/china/flag-400.png,2:3,1949,1949,-,1374170000,3705407,371
India,cdn.countryflags.com/thumbs/india/flag-400.png,2:3,-,1947,-,1282650000,1269219,1011
"United States, the",cdn.countryflags.com/thumbs/united-states-of-america/flag-400.png,10:19,1818,1960,1960,324220410,3678190,88
Indonesia,cdn.countryflags.com/thumbs/indonesia/flag-400.png,2:3,1881,1945,1881,258705000,735358,352
Brazil,cdn.countryflags.com/thumbs/brazil/flag-400.png,7:10,1889,1992,1992,205338000,3287956,62
Pakistan,cdn.countryflags.com/thumbs/pakistan/flag-400.png,2:3,-,1947,-,192808344,340508,566
Nigeria,cdn.countryflags.com/thumbs/nigeria/flag-400.png,1:2,-,1960,-,186988000,356669,524
Bangladesh,cdn.countryflags.com/thumbs/bangladesh/flag-400.png,3:5,1971,1972,1972,163780949,56977,2875
Russia,cdn.countryflags.com/thumbs/russia/flag-400.png,2:3,1700,1991,1993,146359316,6601668,22
Japan,cdn.countryflags.com/thumbs/japan/flag-400.png,2:3,-,1870,1999,126880000,145920,870
Mexico,cdn.countryflags.com/thumbs/mexico/flag-400.png,4:7,1821,1968,1968,122273500,758449,161
"Philippines, the",cdn.countryflags.com/thumbs/philippines/flag-400.png,1:2,1898,1898,1998,102259038,115831,883
Vietnam,cdn.countryflags.com/thumbs/vietnam/flag-400.png,2:3,-,1945,-,94493945,127882,739
Ethiopia,cdn.countryflags.com/thumbs/ethiopia/flag-400.png,1:2,1996,1996,2009,92206005,426373,216
Egypt,cdn.countryflags.com/thumbs/egypt/flag-400.png,2:3,1953,1984,1984,90180000,387048,233
"Congo, Democratic Republic of the",cdn.countryflags.com/thumbs/congo-democratic-republic-of-the/flag-400.png,3:4,1963,2006,2006,85026000,905355,94
Germany,cdn.countryflags.com/thumbs/germany/flag-400.png,3:5,1848,1918,1949,81292400,137882,590
Turkey,cdn.countryflags.com/thumbs/turkey/flag-400.png,2:3,1793,1844,1936,80060591,302535,265
Iran,cdn.countryflags.com/thumbs/iran/flag-400.png,4:7,1980,1980,1980,78918400,636372,124
Thailand,cdn.countryflags.com/thumbs/thailand/flag-400.png,2:3,-,1917,-,68224844,198117,344
France,cdn.countryflags.com/thumbs/france/flag-400.png,2:3,1794,1830,1830,66539000,247368,269
"United Kingdom, the",cdn.countryflags.com/thumbs/united-kingdom/flag-400.png,1:2,1801,1801,1801,65129351,93628,696
Italy,cdn.countryflags.com/thumbs/italy/flag-400.png,2:3,1796,1948,1948,60685487,116346,522
Tanzania,cdn.countryflags.com/thumbs/tanzania/flag-400.png,2:3,-,1964,-,55129193,364900,151
South Africa,cdn.countryflags.com/thumbs/south-africa/flag-400.png,2:3,1994,1994,1994,55104162,471445,117
Myanmar,cdn.countryflags.com/thumbs/myanmar/flag-400.png,2:3,2010,2010,2010,54363000,261228,208
"Korea, South",cdn.countryflags.com/thumbs/south-korea/flag-400.png,3:2,1882,1883,1948,51529338,38691,1332
Colombia,cdn.countryflags.com/thumbs/colombia/flag-400.png,2:3,1810,1861,1949,48471400,440831,110
Kenya,cdn.countryflags.com/thumbs/kenya/flag-400.png,2:3,-,1963,-,47251000,224081,211
Spain,cdn.countryflags.com/thumbs/spain/flag-400.png,2:3,1785,1981,1981,46048074,195365,236
Argentina,cdn.countryflags.com/thumbs/argentina/flag-400.png,9:14,1812,1818,2012,44071590,1073518,41
Ukraine,cdn.countryflags.com/thumbs/ukraine/flag-400.png,2:3,1848,1992,1918,42540288,233013,183
Algeria,cdn.countryflags.com/thumbs/algeria/flag-400.png,2:3,1962,1962,-,40763971,919595,44
Uganda,cdn.countryflags.com/thumbs/uganda/flag-400.png,2:3,-,1962,-,40279998,93065,433
Sudan,cdn.countryflags.com/thumbs/sudan/flag-400.png,1:2,1970,1970,1970,39598700,728215,54
Poland,cdn.countryflags.com/thumbs/poland/flag-400.png,5:8,1831,1919,1921,38484000,120726,319
Iraq,cdn.countryflags.com/thumbs/iraq/flag-400.png,2:3,1963,2008,2008,36575000,169235,216
Canada,cdn.countryflags.com/thumbs/canada/flag-400.png,1:2,1965,1965,1965,35985751,3855103,9
Morocco,cdn.countryflags.com/thumbs/morocco/flag-400.png,2:3,1244,1915,1915,33337529,172414,193
Afghanistan,cdn.countryflags.com/thumbs/afghanistan/flag-400.png,2:3,1928,2002,2004,32564342,251827,129
Saudi Arabia,cdn.countryflags.com/thumbs/saudi-arabia/flag-400.png,2:3,1932,1973,1973,32289252,830000,39
Peru,cdn.countryflags.com/thumbs/peru/flag-400.png,2:3,1822,1825,-,31784000,496225,64
Venezuela,cdn.countryflags.com/thumbs/venezuela/flag-400.png,2:3,1810,2006,2006,31550998,353841,89
Malaysia,cdn.countryflags.com/thumbs/malaysia/flag-400.png,1:2,1950,1950,1963,30820500,127724,241
Uzbekistan,cdn.countryflags.com/thumbs/uzbekistan/flag-400.png,1:2,1991,1991,1991,30345933,172742,176
Nepal,cdn.countryflags.com/thumbs/nepal/flag-400.png,1:1.21901033,-,1743,1962,28431500,56827,500
Yemen,cdn.countryflags.com/thumbs/yemen/flag-400.png,2:3,1990,1990,-,27527990,203850,135
Ghana,cdn.countryflags.com/thumbs/ghana/flag-400.png,2:3,1957,1966,1957,27043093,92098,294
Mozambique,cdn.countryflags.com/thumbs/mozambique/flag-400.png,2:3,1975,1983,1983,26423700,309496,85
Angola,cdn.countryflags.com/thumbs/angola/flag-400.png,2:3,1975,1975,1975,26197332,481354,54
"Korea, North",cdn.countryflags.com/thumbs/north-korea/flag-400.png,1:2,-,1948,-,25281000,46540,543
Australia,cdn.countryflags.com/thumbs/australia/flag-400.png,1:2,1901,1901,1934,24522088,2969907,8
Cameroon,cdn.countryflags.com/thumbs/cameroon/flag-400.png,2:3,1957,1975,1975,23924000,183569,130
Taiwan,cdn.countryflags.com/thumbs/taiwan/flag-400.png,2:3,-,1921,-,23505531,13974,1682
Côte d' Ivoire,cdn.countryflags.com/thumbs/cote-d-ivoire/flag-400.png,2:3,-,1959,-,22671331,124504,182
Madagascar,cdn.countryflags.com/thumbs/madagascar/flag-400.png,2:3,-,1958,-,22434363,226658,99
Sri Lanka,cdn.countryflags.com/thumbs/sri-lanka/flag-400.png,1:2,1879,1972,1948,20966000,25332,828
Niger,cdn.countryflags.com/thumbs/niger/flag-400.png,6:7,-,1959,-,20715000,489191,42
Romania,cdn.countryflags.com/thumbs/romania/flag-400.png,2:3,1867,1989,1989,19350847,92043,210
Burkina Faso,cdn.countryflags.com/thumbs/burkina-faso/flag-400.png,2:3,1984,1984,1984,18450494,105878,174
Chile,cdn.countryflags.com/thumbs/chile/flag-400.png,2:3,1817,1817,1854,18191900,291933,62
Mali,cdn.countryflags.com/thumbs/mali/flag-400.png,2:3,-,1961,-,18135000,478841,38
Syria,cdn.countryflags.com/thumbs/syria/flag-400.png,2:3,1958,1980,1980,18007551,71498,252
Kazakhstan,cdn.countryflags.com/thumbs/kazakhstan/flag-400.png,1:2,1992,1992,1992,17630700,1052090,17
